Implemented,Number of Impacted Resources,Azure Service / Well-Architected,Recommendation Source,Azure Service Category / Well-Architected Area,Azure Service / Well-Architected Topic,Category,Recommendation,Impact,Best Practices Guidance,Read More,Recommendation Id
N/A,0,Azure Service,AZQR,microsoft.dbformysql,flexibleservers,MonitoringAndAlerting,Azure Database for MySQL - Flexible Server should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/mysql/flexible-server/tutorial-query-performance-insights#set-up-diagnostics,mysqlf-001
N/A,0,Azure Service,AZQR,Microsoft.DBforMySQL,flexibleServers,Security,Azure Database for MySQL - Flexible Server should have private access enabled,High,Azure Database for MySQL - Flexible Server should have private access enabled,https://learn.microsoft.com/azure/mysql/flexible-server/concepts-networking-vnet,mysqlf-004
N/A,0,Azure Service,APRL,Microsoft.DBforMySQL,flexibleServers,HighAvailability,Enable HA with zone redundancy,High,"Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
",https://learn.microsoft.com/azure/mysql/flexible-server/concepts-high-availability,88856605-53d8-4bbd-a75b-4a7b14939d32
N/A,0,Azure Service,APRL,Microsoft.DBforMySQL,flexibleServers,DisasterRecovery,Configure geo redundant backup storage,High,"Configure GRS to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",https://learn.microsoft.com/azure/mysql/flexible-server/concepts-backup-restore,5c96afc3-7d2e-46ff-a4c7-9c32850c441b
N/A,0,Azure Service,APRL,Microsoft.DBforMySQL,flexibleServers,DisasterRecovery,Configure one or more read replicas,High,"Configure one or more read replicas to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",https://learn.microsoft.com/azure/mysql/flexible-server/concepts-read-replicas,b49a8653-cc43-48c9-8513-a2d2e3f14dd1
N/A,0,Azure Service,APRL,Microsoft.DBforMySQL,flexibleServers,Scalability,Configure storage auto-grow,High,"Configure storage auto-grow to prevent the server from running out of storage and becoming read-only.
",https://learn.microsoft.com/azure/mysql/flexible-server/concepts-service-tiers-storage#storage-auto-grow,8176a79d-8645-4e52-96be-a10fc0204fe5
N/A,0,Azure Service,AZQR,Microsoft.Network,virtualNetworkGateways,HighAvailability,Virtual Network Gateway should have availability zones enabled,High,"Virtual Network Gateway should use zone-redundant SKUs (SKUs ending with ""AZ"") to provide high availability across availability zones.",https://learn.microsoft.com/en-us/azure/vpn-gateway/create-zone-redundant-vnet-gateway,vgw-005
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Configure customer-controlled VPN gateway maintenance,Medium,"VPN gateways are updated for improved functionality, reliability, performance, and security. Customer-controlled maintenance configuration and scheduling minimize update impact and align with your maintenance windows.
",https://learn.microsoft.com/azure/vpn-gateway/customer-controlled-gateway-maintenance,f8c2e6d9-4b3a-45d6-b9e2-8e7f3a1c2d04
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Choose a Zone-redundant VPN gateway,High,"Deploying zone-redundant virtual network gateways across availability zones ensures zone-resiliency, improving access to mission-critical, scalable services on Azure. Mission Critical workloads should use dual ExpressRoutes instead of VPN.
",https://learn.microsoft.com/azure/vpn-gateway/about-zone-redundant-vnet-gateways,5b1933a6-90e4-f642-a01f-e58594e5aab2
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Enable Active-Active VPN Gateways for redundancy,Medium,"The active-active mode is available for all SKUs except Basic, allowing for two Gateway IP configurations and two public IP addresses, enhancing redundancy and traffic handling. Mission Critical workloads should use dual ExpressRoutes instead of VPN.
",https://learn.microsoft.com/azure/vpn-gateway/active-active-portal#gateway,281a2713-c0e0-3c48-b596-19f590c46671
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Use Zone-redundant ExpressRoute gateway SKUs,High,"Azure ExpressRoute gateway offers variable SLAs based on deployment in single or multiple availability zones. To deploy virtual network gateways across zones automatically, use zone-redundant gateways for accessing critical, scalable services with increased resilience.
",https://learn.microsoft.com/azure/expressroute/expressroute-about-virtual-network-gateways#zrgw,bbe668b7-eb5c-c746-8b82-70afdedf0cae
N/A,0,Azure Service,AOR,Microsoft.Network,virtualNetworkGateways,Governance,Virtual Network Gateways without Point-to-site configuration or Connections,Medium,"Virtual Network Gateways without Point-to-site configuration or Connections.
",https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,9a0b1c2d-3e4f-5a6b-7c8d-9e0f1a2b3c4d
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Deploy VPN gateways with zone-redundant Public IPs,High,"For zone-redundant VPN gateways, always use zone-redundant Standard SKU public IPs to avoid deploying all instances in one zone. This ensures the gateway's reliability. Mission Critical workloads should use dual ExpressRoutes instead of VPN.
",https://learn.microsoft.com/azure/vpn-gateway/about-zone-redundant-vnet-gateways,4bae5a28-5cf4-40d9-bcf1-623d28f6d917
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Connect ExpressRoute gateway with circuits from diverse peering locations,High,"For improved reliability, each ExpressRoute gateway should connect to at least two circuits, with each circuit sourced from a different peering location. This setup ensures diverse connectivity paths, enhancing resilience and minimizing service disruption risks.
",https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering,d37db635-157f-584d-9bce-4f6fc8c65ce5
N/A,0,Azure Service,APRL,Microsoft.Network,virtualNetworkGateways,HighAvailability,Configure customer-controlled ExpressRoute gateway maintenance,Medium,"ExpressRoute gateways are updated for improved functionality, reliability, performance, and security. Customer-controlled maintenance configuration and scheduling minimize update impact and align with your maintenance windows.
",https://learn.microsoft.com/azure/expressroute/customer-controlled-gateway-maintenance#azure-portal-steps,3e115044-a3aa-433e-be01-ce17d67e50da
N/A,0,Azure Service,AZQR,microsoft.network,virtualnetworkgateways,MonitoringAndAlerting,Virtual Network Gateway should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/vpn-gateway/monitor-vpn-gateway,vgw-001
N/A,0,Azure Service,AZQR,microsoft.datafactory,factories,MonitoringAndAlerting,Azure Data Factory should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/data-factory/monitor-configure-diagnostics,adf-001
true,0,Azure Service,APRL,Microsoft.Insights,components,ServiceUpgradeAndRetirement,Convert Classic Deployments,Medium,"Classic Application Insights retires in February 2024. To minimize disruption to existing application monitoring scenarios, transition to workspace-based Application Insights before 29 February 2024.
",https://learn.microsoft.com/azure/azure-monitor/app/convert-classic-resource,dac421ec-2832-4c37-839e-b6dc5a38f2fa
N/A,0,Azure Service,AOR,Microsoft.Compute,availabilitySets,Governance,Availability Sets not associated to any VM or VMSS,Medium,"Availability Sets not associated to any VM or VMSS.
",https://learn.microsoft.com/en-us/azure/virtual-machines/availability-set-overview,2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e
N/A,0,Azure Service,APRL,Microsoft.AVS,privateClouds,MonitoringAndAlerting,Monitor Memory Utilization to ensure sufficient resources for workloads,High,"Ensure sufficient memory resources to prevent host resource exhaustion in Azure VMware Solution. It uses vSphere DRS and vSphere HA for dynamic workload management. Yet, continuous memory use over 95% leads to disk swapping, affecting workloads.
",https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts,029208c8-5186-4a76-8ee8-6e3445fef4dd
N/A,0,Azure Service,APRL,Microsoft.AVS,privateClouds,HighAvailability,Enable Stretched Clusters for Multi-AZ Availability of the vSAN Datastore,Low,"For Azure VMware Solution, enabling Stretched Clusters offers 99.99% SLA, synchronous storage replication (RPO=0), and spreads vSAN datastore across two AZs. Must be done at initial setup, needing double quota due to extension across AZs.
",https://learn.microsoft.com/azure/azure-vmware/deploy-vsan-stretched-clusters,9ec5b4c8-3dd8-473a-86ee-3273290331b9
N/A,0,Azure Service,APRL,Microsoft.AVS,privateClouds,MonitoringAndAlerting,Configure Azure Monitor Alert warning thresholds for vSAN datastore utilization,High,"Ensure VMware vSAN datastore slack space is maintained for SLA by monitoring storage utilization and setting alerts at 70% and 75% utilization to allow for capacity planning. To expand, add hosts or external storage like Azure Elastic SAN, Azure NetApp Files, if CPU and RAM requirements are met.
",https://learn.microsoft.com/azure/azure-vmware/configure-alerts-for-azure-vmware-solution#supported-metrics-and-activities,4232eb32-3241-4049-9e14-9b8005817b56
N/A,0,Azure Service,APRL,Microsoft.AVS,privateClouds,MonitoringAndAlerting,Monitor CPU Utilization to ensure sufficient resources for workloads,High,"Ensure sufficient compute resources to avoid host resource exhaustion in Azure VMware Solution, which utilizes vSphere DRS and HA for dynamic workload resource management. However, sustained CPU utilization over 95% may increase CPU Ready times, impacting workloads.
",https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts,4ee5d535-c47b-470a-9557-4a3dd297d62f
N/A,0,Azure Service,APRL,Microsoft.RecoveryServices,vaults,DisasterRecovery,Enable Cross Region Restore for your GRS Recovery Services Vault,Medium,"Cross Region Restore enables the restoration of Azure VMs in a secondary, Azure paired region, facilitating drills for audit or compliance and allowing recovery of VMs or disks in the event of a primary region disaster. It is an opt-in feature available exclusively for GRS vaults.
",https://learn.microsoft.com/azure/backup/backup-create-recovery-services-vault#set-cross-region-restore,1549b91f-2ea0-4d4f-ba2a-4596becbe3de
N/A,0,Azure Service,APRL,Microsoft.RecoveryServices,vaults,DisasterRecovery,Enable Soft Delete for Recovery Services Vaults in Azure Backup,Medium,"With soft delete, if backup data is deleted, the backup data is retained for 14 additional days, allowing the recovery of that backup item with no data loss with no cost to you. Soft delete is enabled by default. Disabling this feature isn't recommended.
",https://learn.microsoft.com/azure/backup/backup-azure-security-feature-cloud?tabs=azure-portal,9e39919b-78af-4a0b-b70f-c548dae97c25
N/A,0,Azure Service,APRL,Microsoft.RecoveryServices,vaults,MonitoringAndAlerting,Migrate from classic alerts to built-in Azure Monitor alerts for Azure Recovery Services Vaults,Medium,"Classic alerts for Recovery Services vaults in Azure Backup will be retired on 31 March 2026.
",https://learn.microsoft.com/azure/backup/move-to-azure-monitor-alerts,2912472d-0198-4bdc-aa90-37f145790edc
N/A,0,Azure Service,APRL,Microsoft.Network,routeTables,MonitoringAndAlerting,Monitor changes in Route Tables with Azure Monitor,Medium,"Create Alerts with Azure Monitor for operations like Create or Update Route Table to spot unauthorized/undesired changes in production resources. This setup aids in identifying improper routing changes, including efforts to evade firewalls or access resources from outside.
",https://learn.microsoft.com/azure/azure-monitor/essentials/activity-log?tabs=powershell,23b2dfc7-7e5d-9443-9f62-980ca621b561
N/A,0,Azure Service,AOR,Microsoft.Network,routeTables,Governance,Route Tables not attached to any subnet,Medium,"Route Tables not attached to any subnet.
",https://learn.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview,8b9c0d1e-2f3a-4b5c-6d7e-8f9a0b1c2d3e
N/A,0,Azure Service,AZQR,Microsoft.Sql,servers,Security,SQL should enforce TLS >= 1.2,Low,SQL servers should enforce TLS 1.2 or higher to ensure secure encrypted connections to the database.,https://learn.microsoft.com/en-us/azure/azure-sql/database/connectivity-settings?view=azuresql&tabs=azure-portal#minimal-tls-version,sql-008
N/A,0,Azure Service,AZQR,Microsoft.Sql,servers,Security,SQL should have private endpoints enabled,High,SQL servers should have private endpoints enabled to secure database access and prevent exposure to the public internet.,https://learn.microsoft.com/en-us/azure/azure-sql/database/private-endpoint-overview,sql-004
N/A,0,Azure Service,AZQR,Microsoft.Kusto,clusters,HighAvailability,Azure Data Explorer Production Cluster should not use Dev SKU,High,Azure Data Explorer Production Cluster should not use Dev SKU,https://learn.microsoft.com/azure/data-explorer/manage-cluster-choose-sku,dec-003
N/A,0,Azure Service,AZQR,microsoft.kusto,clusters,MonitoringAndAlerting,Azure Data Explorer should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/data-explorer/using-diagnostic-logs,dec-001
N/A,0,Azure Service,AZQR,Microsoft.Kusto,clusters,Security,Azure Data Explorer should have private endpoints enabled,High,Azure Data Explorer should have private endpoints enabled,https://learn.microsoft.com/azure/data-explorer/security-network-private-endpoint,dec-004
N/A,0,Azure Service,AZQR,Microsoft.Kusto,clusters,Security,Azure Data Explorer should use Disk Encryption,High,Azure Data Explorer should use Disk Encryption,https://learn.microsoft.com/azure/data-explorer/manage-cluster-security,dec-008
N/A,0,Azure Service,AZQR,Microsoft.Kusto,clusters,Security,Azure Data Explorer should use Managed Identities,Low,Azure Data Explorer should use Managed Identities,https://learn.microsoft.com/azure/data-explorer/managed-identities,dec-009
N/A,0,Azure Service,APRL,Microsoft.Network,expressRouteCircuits,Scalability,Implement rate-limiting across ExpressRoute Direct Circuits to optimize network flow,Medium,"Rate limiting controls traffic volume between on-premises networks and Azure via ExpressRoute Direct, applying to private or Microsoft peering. It distributes port bandwidth, ensures stability, and prevents congestion, with steps outlined for enabling on circuits.
",https://learn.microsoft.com/azure/expressroute/rate-limit,d40c769d-2f08-4980-8d8f-a386946276e6
N/A,0,Azure Service,APRL,Microsoft.EventHub,namespaces,HighAvailability,Ensure zone redundancy is enabled in supported regions,High,"When using the Azure portal, zone redundancy is automatically enabled. However, some Infrastructure as Code (IaC) tools may default this to false. To ensure replication of metadata and events across data centers in an availability zone, always verify that zone redundancy is enabled.
",https://learn.microsoft.com/azure/event-hubs/event-hubs-geo-dr?tabs=portal#availability-zones,84636c6c-b317-4722-b603-7b1ffc16384b
N/A,0,Azure Service,APRL,Microsoft.EventHub,namespaces,Scalability,Enable auto-inflate on Event Hub Standard tier,High,"Enable auto-inflate on Event Hub Standard tier namespaces to automatically scale up throughput units (TUs), meeting usage needs and preventing data ingress or egress throttle scenarios by adjusting to allowed rates.
",https://learn.microsoft.com/azure/event-hubs/event-hubs-auto-inflate,fbfef3df-04a5-41b2-a8fd-b8541eb04956
N/A,0,Azure Service,AZQR,Microsoft.EventHub,namespaces,Security,Event Hub Namespace should have private endpoints enabled,High,Event Hub Namespace should have private endpoints enabled,https://learn.microsoft.com/azure/event-hubs/private-link-service,evh-004
N/A,0,Azure Service,AZQR,Microsoft.EventHub,namespaces,Security,Event Hub should have local authentication disabled,Medium,Event Hub should have local authentication disabled,https://learn.microsoft.com/azure/event-hubs/authenticate-application,evh-008
N/A,0,Azure Service,AZQR,microsoft.eventhub,namespaces,MonitoringAndAlerting,Event Hub Namespace should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/event-hubs/monitor-event-hubs#collection-and-routing,evh-001
true,0,Azure Service,APRL,Microsoft.KeyVault,vaults,DisasterRecovery,Key vaults should have soft delete enabled,High,"Key Vault's soft-delete feature enables recovery of deleted vaults and objects like keys, secrets, and certificates. When enabled, marked resources are retained for 90 days, allowing for their recovery, essentially undoing deletion.
",https://learn.microsoft.com/azure/key-vault/general/soft-delete-overview,1cca00d2-d9ab-8e42-a788-5d40f49405cb
true,0,Azure Service,APRL,Microsoft.KeyVault,vaults,DisasterRecovery,Key vaults should have purge protection enabled,Medium,"Purge protection secures against malicious deletions by enforcing a retention period for soft deleted key vaults, ensuring no one, not even insiders or Microsoft, can purge your key vaults during this period, preventing permanent data loss.
",https://learn.microsoft.com/azure/key-vault/general/soft-delete-overview#purge-protection,70fcfe6d-00e9-5544-a63a-fff42b9f2edb
false,1,Azure Service,AZQR,microsoft.keyvault,vaults,MonitoringAndAlerting,Key Vault should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/key-vault/general/monitor-key-vault,kv-001
N/A,0,Azure Service,APRL,Microsoft.Network,privateDnsZones,DisasterRecovery,Ensure Time-To-Live (TTL) is set appropriately to ensure RTOs can be met,Medium,"Azure Private DNS allows the Time-To-Live (TTL) for record sets in the zone to be set to a value between 1 and 2147483647 seconds. You should ensure that the TTL for the DNS record sets in your DNS Zones are set appropriately to meet your RTO targets.
",https://learn.microsoft.com/azure/reliability/reliability-dns,3538aa48-c40b-455b-a93b-269fe6e65be2
N/A,0,Azure Service,AOR,Microsoft.Network,privateDnsZones,Governance,Private DNS zones without Virtual Network Links,Medium,"Private DNS zones without Virtual Network Links.
",https://learn.microsoft.com/en-us/azure/dns/private-dns-privatednszone,7e8f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b
N/A,0,Azure Service,APRL,Microsoft.DesktopVirtualization,hostPools,OtherBestPractices,Configure host pool scheduled agent updates,Medium,"Create up to two maintenance windows for the Azure Virtual Desktop agent, side-by-side stack, and Geneva Monitoring agent to get updated so that updates don't happen during peak business hours.
",https://learn.microsoft.com/azure/virtual-desktop/scheduled-agent-updates,979ff8be-5f3a-4d8e-9aa3-407ecdd6d6f7
N/A,0,Azure Service,AOR,Microsoft.Network,ipGroups,Governance,IP Groups not attached to any Azure Firewall,Medium,"IP Groups not attached to any Azure Firewall.
",https://learn.microsoft.com/azure/firewall/ip-groups,6d7e8f9a-0b1c-2d3e-4f5a-6b7c8d9e0f1a
N/A,0,Azure Service,AZQR,Microsoft.Databricks,workspaces,Security,Azure Databricks should have private endpoints enabled,High,Azure Databricks should have private endpoints enabled,https://learn.microsoft.com/azure/databricks/security/network/classic/private-link,dbw-004
N/A,0,Azure Service,AZQR,Microsoft.Databricks,workspaces,Security,Azure Databricks should have the Public IP disabled,Medium,Azure Databricks should have the Public IP disabled,https://learn.microsoft.com/azure/databricks/security/network/classic/secure-cluster-connectivity,dbw-007
N/A,0,Azure Service,AZQR,microsoft.databricks,workspaces,MonitoringAndAlerting,Azure Databricks should have diagnostic settings enabled,Low,,https://learn.microsoft.com/en-us/azure/databricks/administration-guide/account-settings/audit-log-delivery,dbw-001
N/A,0,Azure Service,APRL,Oracle.Database,cloudExadataInfrastructures,OtherBestPractices,Ensure ODAA infrastructure is in Available state under normal operations,High,"ODAA Exadata infrastructures can be in a number of states during its lifecycle (Available, Failed, Maintenance In Progress, Provisioning, Terminated, Terminating and Updating).
Ensure that the infrastructure is in Available state under normal operations.
",https://learn.microsoft.com/rest/api/oracle/cloud-exadata-infrastructures/get?view=rest-oracle-2023-09-01&tabs=HTTP#cloudexadatainfrastructurelifecyclestate,c99d730b-8754-447f-bd5d-3e8850a12235
N/A,0,Azure Service,APRL,Microsoft.Network,publicIPAddresses,HighAvailability,Use Standard SKU and Zone-Redundant IPs when applicable,High,"Public IP addresses in Azure can be of standard SKU, available as non-zonal, zonal, or zone-redundant. Zone-redundant IPs are accessible across all zones, resisting any single zone failure, thereby providing higher resilience.
",https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-addresses#availability-zone,c63b81fb-7afc-894c-a840-91bb8a8dcfaf
N/A,0,Azure Service,APRL,Microsoft.Network,publicIPAddresses,HighAvailability,Use NAT gateway for outbound connectivity to avoid SNAT Exhaustion,Medium,"Prevent connectivity failures due to SNAT port exhaustion by employing NAT gateway for outbound traffic from virtual networks, ensuring dynamic scaling and secure internet connections.
",https://learn.microsoft.com/azure/advisor/advisor-reference-reliability-recommendations#use-nat-gateway-for-outbound-connectivity,1adba190-5c4c-e646-8527-dd1b2a6d8b15
N/A,0,Azure Service,APRL,Microsoft.Network,publicIPAddresses,HighAvailability,Upgrade Basic SKU public IP addresses to Standard SKU,Medium,"Basic SKU public IP addresses will be retired on September 30, 2025. Users are advised to upgrade to Standard SKU public IP addresses before this date to avoid service disruptions.
",https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-basic-upgrade-guidance,5cea1501-6fe4-4ec4-ac8f-f72320eb18d3
